indicator,year,value,sex,country
Mean Blood Pressure,1992,20.596123,SEX_FMLE,China
Mean Blood Pressure,2013,24.963709,SEX_BTSX,China
Mean Blood Pressure,2003,27.878979,SEX_MLE,China
Mean Blood Pressure,2005,28.290728,SEX_MLE,China
Mean Blood Pressure,1993,21.049009,SEX_FMLE,China
Mean Blood Pressure,2016,21.016523,SEX_FMLE,China
Mean Blood Pressure,1997,22.289787,SEX_FMLE,China
Mean Blood Pressure,2000,23.030458,SEX_FMLE,China
Mean Blood Pressure,1999,24.729555,SEX_BTSX,China
Mean Blood Pressure,2013,22.35214,SEX_FMLE,China
Mean Blood Pressure,1994,22.648066,SEX_BTSX,China
Mean Blood Pressure,1991,20.130455,SEX_FMLE,China
Mean Blood Pressure,2012,22.846876,SEX_FMLE,China
Mean Blood Pressure,1992,21.297094,SEX_BTSX,China
Mean Blood Pressure,2006,26.343731,SEX_BTSX,China
Mean Blood Pressure,2007,26.396936,SEX_BTSX,China
Mean Blood Pressure,2016,26.700523,SEX_MLE,China
Mean Blood Pressure,2010,23.720285,SEX_FMLE,China
Mean Blood Pressure,2006,24.157589,SEX_FMLE,China
Mean Blood Pressure,2019,26.032547,SEX_MLE,China
Mean Blood Pressure,1994,21.436575,SEX_FMLE,China
Mean Blood Pressure,2002,25.611145,SEX_BTSX,China
Mean Blood Pressure,2009,23.995708,SEX_FMLE,China
Mean Blood Pressure,2017,20.62899,SEX_FMLE,China
Mean Blood Pressure,1996,25.134491,SEX_MLE,China
Mean Blood Pressure,2000,26.958252,SEX_MLE,China
Mean Blood Pressure,2001,25.337601,SEX_BTSX,China
Mean Blood Pressure,2011,23.319313,SEX_FMLE,China
Mean Blood Pressure,1995,21.759525,SEX_FMLE,China
Mean Blood Pressure,2015,24.246065,SEX_BTSX,China
Mean Blood Pressure,1999,26.577209,SEX_MLE,China
Mean Blood Pressure,2004,23.918198,SEX_FMLE,China
Mean Blood Pressure,1995,24.51585,SEX_MLE,China
Mean Blood Pressure,2008,24.137352,SEX_FMLE,China
Mean Blood Pressure,2004,28.108755,SEX_MLE,China
Mean Blood Pressure,2017,23.624786,SEX_BTSX,China
Mean Blood Pressure,1991,20.962954,SEX_MLE,China
Mean Blood Pressure,2005,26.230913,SEX_BTSX,China
Mean Blood Pressure,2014,21.871799,SEX_FMLE,China
Mean Blood Pressure,2018,23.318003,SEX_BTSX,China
Mean Blood Pressure,1993,22.023159,SEX_BTSX,China
Mean Blood Pressure,2001,23.273283,SEX_FMLE,China
Mean Blood Pressure,1990,19.669996,SEX_FMLE,China
Mean Blood Pressure,2002,27.606201,SEX_MLE,China
Mean Blood Pressure,2019,19.842985,SEX_FMLE,China
Mean Blood Pressure,2000,25.044313,SEX_BTSX,China
Mean Blood Pressure,2011,28.024778,SEX_MLE,China
Mean Blood Pressure,1999,22.784067,SEX_FMLE,China
Mean Blood Pressure,2006,28.422993,SEX_MLE,China
Mean Blood Pressure,2004,26.065624,SEX_BTSX,China
Mean Blood Pressure,2005,24.065239,SEX_FMLE,China
Mean Blood Pressure,2017,26.479963,SEX_MLE,China
Mean Blood Pressure,2010,28.278452,SEX_MLE,China
Mean Blood Pressure,2008,26.381233,SEX_BTSX,China
Mean Blood Pressure,1998,26.147184,SEX_MLE,China
Mean Blood Pressure,1998,22.535973,SEX_FMLE,China
Mean Blood Pressure,1996,23.630228,SEX_BTSX,China
Mean Blood Pressure,2012,25.353622,SEX_BTSX,China
Mean Blood Pressure,1991,20.563221,SEX_BTSX,China
Mean Blood Pressure,2002,23.514576,SEX_FMLE,China
Mean Blood Pressure,2007,28.502155,SEX_MLE,China
Mean Blood Pressure,1992,21.951275,SEX_MLE,China
Mean Blood Pressure,1997,24.026356,SEX_BTSX,China
Mean Blood Pressure,1995,23.178324,SEX_BTSX,China
Mean Blood Pressure,1996,22.038477,SEX_FMLE,China
Mean Blood Pressure,2001,27.301153,SEX_MLE,China
Mean Blood Pressure,2003,25.857309,SEX_BTSX,China
Mean Blood Pressure,2019,23.013535,SEX_BTSX,China
Mean Blood Pressure,2018,26.254192,SEX_MLE,China
Mean Blood Pressure,1997,25.670877,SEX_MLE,China
Mean Blood Pressure,2011,25.730844,SEX_BTSX,China
Mean Blood Pressure,2015,21.426203,SEX_FMLE,China
Mean Blood Pressure,2015,26.933527,SEX_MLE,China
Mean Blood Pressure,1994,23.787632,SEX_MLE,China
Mean Blood Pressure,1998,24.389236,SEX_BTSX,China
Mean Blood Pressure,2009,26.278118,SEX_BTSX,China
Mean Blood Pressure,2009,28.447502,SEX_MLE,China
Mean Blood Pressure,1993,22.936817,SEX_MLE,China
Mean Blood Pressure,2018,20.236282,SEX_FMLE,China
Mean Blood Pressure,2016,23.926651,SEX_BTSX,China
Mean Blood Pressure,2003,23.732904,SEX_FMLE,China
Mean Blood Pressure,1990,20.008116,SEX_MLE,China
Mean Blood Pressure,2013,27.451632,SEX_MLE,China
Mean Blood Pressure,2010,26.057144,SEX_BTSX,China
Mean Blood Pressure,2012,27.740044,SEX_MLE,China
Mean Blood Pressure,2007,24.183161,SEX_FMLE,China
Mean Blood Pressure,2014,24.589441,SEX_BTSX,China
Mean Blood Pressure,2014,27.179426,SEX_MLE,China
Mean Blood Pressure,2008,28.514481,SEX_MLE,China
Mean Blood Pressure,1990,19.849079,SEX_BTSX,China
